Timestamp;Object_List;Objects_Count;frisbee;clock;tv;bus;stop sign;person;chair;train;truck;car;airplane;traffic light;fire hydrant
1549642689775764;['truck', 'train', 'truck'];3;;;;;;;;1.0;2.0;;;;
1549642691640878;['truck', 'truck'];2;;;;;;;;;2.0;;;;
1549642693456342;['truck', 'train', 'train'];3;;;;;;;;2.0;1.0;;;;
1549642695332555;['truck'];1;;;;;;;;;1.0;;;;
1549642697137897;['truck', 'truck', 'truck'];3;;;;;;;;;3.0;;;;
1549642699005504;['bus'];1;;;;1.0;;;;;;;;;
1549642700875195;['truck'];1;;;;;;;;;1.0;;;;
1549642702687554;['truck'];1;;;;;;;;;1.0;;;;
1549642708121766;['truck'];1;;;;;;;;;1.0;;;;
1549642709928417;['person', 'car', 'person', 'person'];4;;;;;;3.0;;;;1.0;;;
1549642715412549;['car'];1;;;;;;;;;;1.0;;;
1549642726270685;['person', 'person', 'car', 'car', 'car', 'car', 'car'];7;;;;;;2.0;;;;5.0;;;
1549642728083186;['car'];1;;;;;;;;;;1.0;;;
1549642729888927;['person', 'car'];2;;;;;;1.0;;;;1.0;;;
1549642731757269;['car'];1;;;;;;;;;;1.0;;;
1549642733571506;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642735383297;['car'];1;;;;;;;;;;1.0;;;
1549642737188017;['car'];1;;;;;;;;;;1.0;;;
1549642739117688;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642740934540;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642742799066;['car'];1;;;;;;;;;;1.0;;;
1549642744608596;['car'];1;;;;;;;;;;1.0;;;
1549642746421998;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642751849549;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642753662046;['car'];1;;;;;;;;;;1.0;;;
1549642755466775;['truck'];1;;;;;;;;;1.0;;;;
1549642764510638;['car'];1;;;;;;;;;;1.0;;;
1549642766385029;['car'];1;;;;;;;;;;1.0;;;
1549642775492201;['truck'];1;;;;;;;;;1.0;;;;
1549642780980307;['car'];1;;;;;;;;;;1.0;;;
1549642782847946;['car'];1;;;;;;;;;;1.0;;;
1549642784662804;['car'];1;;;;;;;;;;1.0;;;
1549642786535425;['car'];1;;;;;;;;;;1.0;;;
1549642788406816;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642790212751;['car'];1;;;;;;;;;;1.0;;;
1549642792024872;['truck'];1;;;;;;;;;1.0;;;;
1549642797451804;['car'];1;;;;;;;;;;1.0;;;
1549642799261356;['car'];1;;;;;;;;;;1.0;;;
1549642801076752;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642802948527;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642804819087;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549642806695026;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549642808509862;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549642810374613;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549642812185121;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549642814060798;['train', 'car'];2;;;;;;;;1.0;;1.0;;;
1549642815943918;['car', 'truck', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549642817755134;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642823311741;['car'];1;;;;;;;;;;1.0;;;
1549642827050099;['car'];1;;;;;;;;;;1.0;;;
1549642830730680;['car'];1;;;;;;;;;;1.0;;;
1549642832539718;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642834351096;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549642843576915;['car'];1;;;;;;;;;;1.0;;;
1549642845389010;['truck'];1;;;;;;;;;1.0;;;;
1549642856497872;['car'];1;;;;;;;;;;1.0;;;
1549642858369772;['truck'];1;;;;;;;;;1.0;;;;
1549642860238570;['car'];1;;;;;;;;;;1.0;;;
1549642863861631;['car'];1;;;;;;;;;;1.0;;;
1549642865674185;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642867479309;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642871162061;['car', 'car', 'car', 'truck'];4;;;;;;;;;1.0;3.0;;;
1549642872987037;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642874789120;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642876659009;['car'];1;;;;;;;;;;1.0;;;
1549642878465610;['truck', 'car', 'person'];3;;;;;;1.0;;;1.0;1.0;;;
1549642880280662;['car'];1;;;;;;;;;;1.0;;;
1549642882093650;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642883898553;['truck'];1;;;;;;;;;1.0;;;;
1549642885707217;['car'];1;;;;;;;;;;1.0;;;
1549642887517865;['car'];1;;;;;;;;;;1.0;;;
1549642889331112;['truck', 'car', 'car', 'truck'];4;;;;;;;;;2.0;2.0;;;
1549642902236370;['car'];1;;;;;;;;;;1.0;;;
1549642904109943;['car'];1;;;;;;;;;;1.0;;;
1549642906040280;['car'];1;;;;;;;;;;1.0;;;
1549642907849921;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642909715044;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642911644854;['car'];1;;;;;;;;;;1.0;;;
1549642915262792;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642919002068;['car'];1;;;;;;;;;;1.0;;;
1549642920815725;['car'];1;;;;;;;;;;1.0;;;
1549642922689172;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642924492590;['car'];1;;;;;;;;;;1.0;;;
1549642926364535;['car', 'stop sign'];2;;;;;1.0;;;;;1.0;;;
1549642928173100;['car'];1;;;;;;;;;;1.0;;;
1549642929983320;['truck'];1;;;;;;;;;1.0;;;;
1549642931794862;['car'];1;;;;;;;;;;1.0;;;
1549642933600110;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642935408354;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549642937283824;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642941024098;['car'];1;;;;;;;;;;1.0;;;
1549642944646108;['car'];1;;;;;;;;;;1.0;;;
1549642946453405;['car'];1;;;;;;;;;;1.0;;;
1549642948385624;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549642950197007;['car'];1;;;;;;;;;;1.0;;;
1549642952083497;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549642953950444;['car'];1;;;;;;;;;;1.0;;;
1549642955767657;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642957583223;['truck'];1;;;;;;;;;1.0;;;;
1549642959452072;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549642961324264;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549642963195802;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549642965000542;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642966825934;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642968635726;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642970448781;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642972252940;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549642974121335;['truck', 'car', 'car', 'truck', 'car'];5;;;;;;;;;2.0;3.0;;;
1549642975939522;['truck', 'car', 'car', 'car', 'car'];5;;;;;;;;;1.0;4.0;;;
1549642977747455;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642979552166;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549642981424091;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642983231500;['truck', 'car', 'car'];3;;;;;;;;;1.0;2.0;;;
1549642985041455;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549642986918882;['truck', 'car', 'car'];3;;;;;;;;;1.0;2.0;;;
1549642988723502;['person', 'truck', 'car', 'truck'];4;;;;;;1.0;;;2.0;1.0;;;
1549642990591188;['car', 'car'];2;;;;;;;;;;2.0;;;
1549642992398875;['truck'];1;;;;;;;;;1.0;;;;
1549642994153811;['car'];1;;;;;;;;;;1.0;;;
1549642996025021;['car'];1;;;;;;;;;;1.0;;;
1549643001514155;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643003379507;['truck', 'truck', 'truck', 'truck'];4;;;;;;;;;4.0;;;;
1549643005256351;['truck'];1;;;;;;;;;1.0;;;;
1549643007059827;['truck', 'truck', 'car'];3;;;;;;;;;2.0;1.0;;;
1549643008866136;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643010680586;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643012550986;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643014363571;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643016225525;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643018042731;['car', 'car', 'car', 'truck', 'truck'];5;;;;;;;;;2.0;3.0;;;
1549643019850392;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643021599586;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643023404087;['truck', 'car', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643025211836;['car', 'car', 'car', 'truck'];4;;;;;;;;;1.0;3.0;;;
1549643027027746;['car', 'car', 'car', 'truck'];4;;;;;;;;;1.0;3.0;;;
1549643028844531;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643030649418;['train', 'car', 'truck'];3;;;;;;;;1.0;1.0;1.0;;;
1549643032457722;['car', 'truck', 'truck'];3;;;;;;;;;2.0;1.0;;;
1549643034332436;['bus', 'truck', 'truck', 'car', 'car'];5;;;;1.0;;;;;2.0;2.0;;;
1549643036144300;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643037947815;['car', 'car', 'airplane'];3;;;;;;;;;;2.0;1.0;;
1549643039753500;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643041623453;['truck', 'truck', 'car', 'bus'];4;;;;1.0;;;;;2.0;1.0;;;
1549643043499140;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643045310595;['truck', 'car', 'car', 'truck'];4;;;;;;;;;2.0;2.0;;;
1549643047113941;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643048930639;['truck'];1;;;;;;;;;1.0;;;;
1549643054418368;['car'];1;;;;;;;;;;1.0;;;
1549643056284346;['car'];1;;;;;;;;;;1.0;;;
1549643058152642;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643061836623;['car'];1;;;;;;;;;;1.0;;;
1549643065451337;['car'];1;;;;;;;;;;1.0;;;
1549643072884770;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643074696584;['car'];1;;;;;;;;;;1.0;;;
1549643087426886;['car', 'person', 'car'];3;;;;;;1.0;;;;2.0;;;
1549643089291384;['car'];1;;;;;;;;;;1.0;;;
1549643091168056;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643093034612;['car'];1;;;;;;;;;;1.0;;;
1549643094839386;['car'];1;;;;;;;;;;1.0;;;
1549643096647227;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643098463728;['car'];1;;;;;;;;;;1.0;;;
1549643100276051;['car'];1;;;;;;;;;;1.0;;;
1549643102080721;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643105699506;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643107511748;['truck'];1;;;;;;;;;1.0;;;;
1549643109441617;['truck'];1;;;;;;;;;1.0;;;;
1549643111247872;['car'];1;;;;;;;;;;1.0;;;
1549643116742641;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643118545858;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643120361726;['truck'];1;;;;;;;;;1.0;;;;
1549643122171130;['truck', 'car', 'truck', 'car', 'car', 'car'];6;;;;;;;;;2.0;4.0;;;
1549643124035924;['car', 'person'];2;;;;;;1.0;;;;1.0;;;
1549643125913414;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643127716705;['train', 'car'];2;;;;;;;;1.0;;1.0;;;
1549643129523371;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643131391934;['car'];1;;;;;;;;;;1.0;;;
1549643133266702;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643135197463;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643137008835;['car'];1;;;;;;;;;;1.0;;;
1549643138813313;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643140685969;['car'];1;;;;;;;;;;1.0;;;
1549643144423561;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643146298784;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643148163383;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643151782108;['car'];1;;;;;;;;;;1.0;;;
1549643153589695;['person'];1;;;;;;1.0;;;;;;;
1549643155404414;['car'];1;;;;;;;;;;1.0;;;
1549643157218649;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643159079966;['truck', 'car', 'car', 'car', 'car'];5;;;;;;;;;1.0;4.0;;;
1549643160908289;['truck'];1;;;;;;;;;1.0;;;;
1549643162713658;['truck', 'car', 'car', 'truck'];4;;;;;;;;;2.0;2.0;;;
1549643164525539;['truck'];1;;;;;;;;;1.0;;;;
1549643177335748;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643182775686;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643184582769;['car'];1;;;;;;;;;;1.0;;;
1549643188207460;['car'];1;;;;;;;;;;1.0;;;
1549643190012033;['car'];1;;;;;;;;;;1.0;;;
1549643191894193;['truck'];1;;;;;;;;;1.0;;;;
1549643193701802;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643195631792;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643197443541;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643199255672;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643201123000;['car'];1;;;;;;;;;;1.0;;;
1549643202990688;['car', 'person', 'truck', 'truck'];4;;;;;;1.0;;;2.0;1.0;;;
1549643204798511;['truck', 'car', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643206614578;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643208486202;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643210289100;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643212162536;['car', 'car', 'car', 'car', 'truck'];5;;;;;;;;;1.0;4.0;;;
1549643214092817;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549643215900780;['car', 'car', 'truck'];3;;;;;;;;;1.0;2.0;;;
1549643217710594;['car'];1;;;;;;;;;;1.0;;;
1549643219705328;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643221517368;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643223384166;['car'];1;;;;;;;;;;1.0;;;
1549643225194433;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643227062580;['car'];1;;;;;;;;;;1.0;;;
1549643228877333;['car'];1;;;;;;;;;;1.0;;;
1549643232492518;['car'];1;;;;;;;;;;1.0;;;
1549643237988644;['car'];1;;;;;;;;;;1.0;;;
1549643239918862;['car'];1;;;;;;;;;;1.0;;;
1549643245344732;['stop sign', 'person'];2;;;;;1.0;1.0;;;;;;;
1549643258077546;['person'];1;;;;;;1.0;;;;;;;
1549643259883189;['car'];1;;;;;;;;;;1.0;;;
1549643261750861;['truck'];1;;;;;;;;;1.0;;;;
1549643263627623;['truck'];1;;;;;;;;;1.0;;;;
1549643265439116;['truck'];1;;;;;;;;;1.0;;;;
1549643270922772;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643274546709;['car', 'person'];2;;;;;;1.0;;;;1.0;;;
1549643276350344;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643278158518;['car', 'stop sign', 'car'];3;;;;;1.0;;;;;2.0;;;
1549643279973411;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643285399354;['car'];1;;;;;;;;;;1.0;;;
1549643287210430;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643290953048;['truck'];1;;;;;;;;;1.0;;;;
1549643292820507;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643294626807;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643296441327;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643298251369;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643300181739;['truck', 'car', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643302068533;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643303874623;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643305682172;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643307492395;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643309369381;['person', 'person', 'car', 'truck'];4;;;;;;2.0;;;1.0;1.0;;;
1549643311235541;['car'];1;;;;;;;;;;1.0;;;
1549643313041358;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643314848232;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643316662826;['car'];1;;;;;;;;;;1.0;;;
1549643318476520;['car'];1;;;;;;;;;;1.0;;;
1549643320280906;['car'];1;;;;;;;;;;1.0;;;
1549643322154638;['car'];1;;;;;;;;;;1.0;;;
1549643324019465;['car'];1;;;;;;;;;;1.0;;;
1549643325829402;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643327642341;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643329447878;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643331254344;['car', 'car', 'car', 'car', 'car'];5;;;;;;;;;;5.0;;;
1549643333069877;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643334999613;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643336872304;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643338675984;['truck', 'car', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643340492018;['truck', 'car', 'truck', 'car', 'car'];5;;;;;;;;;2.0;3.0;;;
1549643342356161;['truck', 'car', 'truck', 'truck', 'car'];5;;;;;;;;;3.0;2.0;;;
1549643344166579;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643346097226;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643347976000;['truck', 'car', 'truck'];3;;;;;;;;;2.0;1.0;;;
1549643349779217;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643351583709;['car', 'truck', 'car', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643353513658;['car', 'truck'];2;;;;;;;;;1.0;1.0;;;
1549643355329180;['car', 'truck', 'car'];3;;;;;;;;;1.0;2.0;;;
1549643357139931;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643359011329;['car', 'car', 'truck', 'car'];4;;;;;;;;;1.0;3.0;;;
1549643360815655;['car'];1;;;;;;;;;;1.0;;;
1549643362623406;['car', 'person', 'car'];3;;;;;;1.0;;;;2.0;;;
1549643364433402;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643366246529;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643368051859;['car'];1;;;;;;;;;;1.0;;;
1549643369860032;['car'];1;;;;;;;;;;1.0;;;
1549643371675118;['car'];1;;;;;;;;;;1.0;;;
1549643373546719;['car'];1;;;;;;;;;;1.0;;;
1549643375418182;['car'];1;;;;;;;;;;1.0;;;
1549643377223693;['car'];1;;;;;;;;;;1.0;;;
1549643379096606;['car'];1;;;;;;;;;;1.0;;;
1549643380906304;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
